Tarih,Müdürlük,Haber_Kaynagi,Sayı,Ayrıntı,Kayit_Zamani
2026-01-28,Fen İşleri Müdürlüğü,Beykoz Anlık,1,Çavuşbaşı Yavuz Selim Gurbet sokak. Yolda derim göçük var. Tamir isteniyor. ,2026-01-29 12:49:32.719548
2026-01-28,Fen İşleri Müdürlüğü,Beykoz Duysun,1,Rüzgarlıbahçe Alaattin Buluç sokakta daha önce çalışma yapılmış. Ancak üzeri kapatılmamış. Çukur oluşmuş ve araçlara zarar verdiği belirtiliyor. Onarım talep ediliyor. ,2026-01-29 12:56:28.410937
2026-01-28,Temizlik İşleri Müdürlüğü,Beykoz Anlık,1,Tokatköy TOKİ 1. Etap konutlarında çöp Konteynerleri taşmış. Alınması rica ediliyor. ,2026-01-29 13:04:35.488895
2026-01-28,Zabıta Müdürlüğü,Beykoz Duysun,1,Mehmet Ali Yavuz caddesi Nun okullarına giden yolda şantiye yolun neredeyse ortasına kadar kurulmuş. Büyük araçlar girdiğinde tıkanıyor. Trafik çözülmüyor. ,2026-01-29 13:05:36.400331
2026-01-28,Özel Kalem Müdürlüğü,Beykoz Duysun,1,Çubuklu Eski Taşocağı sokakta İSKİ sorumluluğunda olmasına rağmen şikayetin dikkate alınarak Beykoz Belediyesi tarafından asfaltlanmasına teşekkür edilmiş. (Özlem Vural Gürzel ve Burak Karaçam da etiketlenmiş),2026-01-29 13:05:56.702033
2026-01-28,İşletme ve İştirakler Müdürlüğü,Beykoz Duysun,1,Beykoz Gümüşsuyu kafeteryasındaki hiçbir QR kodun çalışmadığı konusunda şikayet var.,2026-01-29 13:06:28.819971
2026-01-28,Fen İşleri Müdürlüğü,Beykoz Duysun,1,Rüzgarlıbahçe Alaattin Buluç sokakta daha önce çalışma yapılmış. Ancak üzeri kapatılmamış. Çukur oluşmuş ve araçlara zarar verdiği belirtiliyor. Onarım talep ediliyor. ,2026-01-29 13:06:53.214255
2026-01-27,Temizlik İşleri Müdürlüğü,Beykoz Anlık,1,Okçular Vakfı Mesire Alanı çöp konteynerleri taşmış. ,2026-01-29 13:23:18.926241
2026-01-27,Fen İşleri Müdürlüğü,Beykoz Anlık,1,Yalıköy Beşe Sokak yolda çöküntü oluşmuş. Derin bir çökük. Şikayetler var. ,2026-01-29 13:22:02.668993
2026-01-27,Fen İşleri Müdürlüğü,Beykoz Anlık,1,Çavuşbaşı Yavuz Selim caddesi Arkadaş Sokak yol çökmüş. Onarım talep ediliyor. ,2026-01-29 13:22:30.643463
2026-01-27,Fen İşleri Müdürlüğü,Beykoz Anlık,1,İncirköy Köyönü caddesi girişinde yol çökmüş. Onarım talep ediliyor.   ,2026-01-29 13:23:44.607046
2026-01-27,Fen İşleri Müdürlüğü,Beykoz Burada,1,Sakarya caddesinde hafriyat ve moloz yola dökülmüş dolayısıyla bir tepecik oluşmuş. Yol kapalı. Vatandaş sürekli böyle olduğunu söylüyor.,2026-01-29 13:40:04.343541
2026-01-27,Zabıta Müdürlüğü,Beykoz Anlık,1,Kavacık Serpil Sokakta parkın yanındaki yol kenarına çok sayıda lastik atılmış. Hem çirkin görüntü oluşturuyor. Hem de trafik güvenliğini tehlikeye atıyor. ,2026-01-29 13:21:38.941144
2026-01-27,Zabıta Müdürlüğü,Beykoz Burada,1,Kavacık Serpil Sokaktaki park yanında bulunan lastikler burada da şikayet edilmiş. ,2026-01-29 13:24:57.262839
2026-01-27,Zabıta Müdürlüğü,Beykoz Burada,1,Sakarya caddesinde hafriyat ve moloz yola dökülmüş dolayısıyla bir tepecik oluşmuş. Yol kapalı. Vatandaş sürekli böyle olduğunu söylüyor.,2026-01-29 13:40:04.343550
2026-01-27,Park ve Bahçeler Müdürlüğü,Beykoz Burada,1,Mahmutşevketpaşa Ayazma Kasımpatı Sokakta tarihi olduğu söylenen bir çeşmenin önü çalı ve otlarla kapanmış. Vatandaş mümkünse temizlenip çeşmenin çalışır hale getirilmesini talep ediyor.,2026-01-29 13:45:10.473232
2026-01-27,Kültür Müdürlüğü,Beykoz Burada,1,Mahmutşevketpaşa Ayazma Kasımpatı Sokakta tarihi olduğu söylenen bir çeşmenin önü çalı ve otlarla kapanmış. Vatandaş mümkünse temizlenip çeşmenin çalışır hale getirilmesini talep ediyor.,2026-01-29 13:45:10.473238
2026-01-26,Temizlik İşleri Müdürlüğü,Beykoz Anlık,1,"Tokatköy Toki 1. Etap Evleri Çöp Konteynerleri Taşmış. 
",2026-01-29 13:47:56.241940
2026-01-26,Park ve Bahçeler Müdürlüğü,Beykoz Anlık,1,Alibahadır Samyeli Caddesi Kılıçarslan Camii Önü ağaç kırılmış. Yola düşmek üzere.,2026-01-29 13:48:45.287707
2026-01-26,Fen İşleri Müdürlüğü,Beykoz Anlık,1,Kavacık Mutlu Sokak araçlar çok hızlı geçiyor. Tümsek isteniyor. (Önceki gün kedisine araba çarpmış ölmüş.) ,2026-01-29 13:49:08.491598
2026-01-26,Temizlik İşleri Müdürlüğü,Beykoz Anlık,1,Göksu Parkın temizlenmesi ve çöp kovalarının poşet takılarak kullanılabilir hale getirilmesi istenmiş.  ,2026-01-29 13:49:54.436040
2026-01-26,Temizlik İşleri Müdürlüğü,Beykoz Anlık,1,Anadolu Hisarı Carfoor Market yanı çöp Konteynerleri taşmış.  ,2026-01-29 13:50:05.888233
2026-01-26,Zabıta Müdürlüğü,Beykoz Anlık,1,Çubuklu kanlıca Sahil Yolunda araç park alanlarına karavanlar park ettiği için spor amaçlı gelenler park yeri bulamıyormuş. Amacı dışında kullanılması şikayet ediliyor. ,2026-01-29 13:50:29.848225
2026-01-26,Fen İşleri Müdürlüğü,Beykoz Burada,1,Göksu Sadri Alışık Caddesi No:12 bina önündeki rögar kapağı çevresi çukurlaşmış araçlara zarar veriyor. ,2026-01-29 13:50:49.211876
2026-01-26,Fen İşleri Müdürlüğü,Beykoz Burada,1,Çavuşbaşı Yavuz Selim Bilge Kağan caddesinde daha önce çalışma yapılmış. Yol hat boyunca çukur. Asfalt düzeltilmemiş.  ,2026-01-29 13:51:05.722373
2026-01-26,Temizlik İşleri Müdürlüğü,Beykoz Burada,1,Anadolu Hisarı Burger King yanındaki çöp konteynerleri taşmış.    ,2026-01-29 13:51:23.218523
